序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1455,003038,鑫铂股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:8,000万元至10,000万元,同比上年下降:613.88%至742.35%。",-90000000.0,-678.115,"公司专业从事新能源光伏、汽车轻量化以及其他铝制品的研发、生产与销售,建立从原材料研发、再生铝生产、模具设计与制造、生产加工、表面处理至精加工工艺完整的工业生产体系。公司2026年上半年净利润比上年同期下降的主要原因如下:1、新能源光伏板块盈利能力阶段性承压2026年上半年,受产业链供需关系及行业竞争影响,公司新能源光伏板块产品销售价格较上年同期有所下降。目前,在产业链上下游协同及行业自律措施推动下,产品价格有望逐步企稳;同时随着公司海外生产基地逐步进入量产阶段,该板块供应链优势将逐步显现,后续盈利能力存在修复空间。2、汽车轻量化板块产能爬坡导致亏损阶段性扩大2026年上半年,公司汽车轻量化板块销量较上年同期实现增长,但受产线仍处于产能爬坡阶段、固定成本分摊较高等因素影响,整体尚未达到盈亏平衡点,致使该板块亏损较上年同期有所扩大。未来随着产能利用率持续提升、工艺磨合逐步成熟及规模效应释放,该板块亏损有望逐步收窄,长期来看将有利于优化公司产品结构,提升公司整体抗风险能力与盈利稳定性。",首亏,15567800.0,2026-07-15
1456,003038,鑫铂股份,每股收益,预计2026年1-6月每股收益亏损:0.19元至0.27元。,-0.23,,"公司专业从事新能源光伏、汽车轻量化以及其他铝制品的研发、生产与销售,建立从原材料研发、再生铝生产、模具设计与制造、生产加工、表面处理至精加工工艺完整的工业生产体系。公司2026年上半年净利润比上年同期下降的主要原因如下:1、新能源光伏板块盈利能力阶段性承压2026年上半年,受产业链供需关系及行业竞争影响,公司新能源光伏板块产品销售价格较上年同期有所下降。目前,在产业链上下游协同及行业自律措施推动下,产品价格有望逐步企稳;同时随着公司海外生产基地逐步进入量产阶段,该板块供应链优势将逐步显现,后续盈利能力存在修复空间。2、汽车轻量化板块产能爬坡导致亏损阶段性扩大2026年上半年,公司汽车轻量化板块销量较上年同期实现增长,但受产线仍处于产能爬坡阶段、固定成本分摊较高等因素影响,整体尚未达到盈亏平衡点,致使该板块亏损较上年同期有所扩大。未来随着产能利用率持续提升、工艺磨合逐步成熟及规模效应释放,该板块亏损有望逐步收窄,长期来看将有利于优化公司产品结构,提升公司整体抗风险能力与盈利稳定性。",首亏,0.15,2026-07-15
1457,003038,鑫铂股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:4,600万元至6,500万元,同比上年下降:224.7%至276.21%。",-55500000.0,-250.455,"公司专业从事新能源光伏、汽车轻量化以及其他铝制品的研发、生产与销售,建立从原材料研发、再生铝生产、模具设计与制造、生产加工、表面处理至精加工工艺完整的工业生产体系。公司2026年上半年净利润比上年同期下降的主要原因如下:1、新能源光伏板块盈利能力阶段性承压2026年上半年,受产业链供需关系及行业竞争影响,公司新能源光伏板块产品销售价格较上年同期有所下降。目前,在产业链上下游协同及行业自律措施推动下,产品价格有望逐步企稳;同时随着公司海外生产基地逐步进入量产阶段,该板块供应链优势将逐步显现,后续盈利能力存在修复空间。2、汽车轻量化板块产能爬坡导致亏损阶段性扩大2026年上半年,公司汽车轻量化板块销量较上年同期实现增长,但受产线仍处于产能爬坡阶段、固定成本分摊较高等因素影响,整体尚未达到盈亏平衡点,致使该板块亏损较上年同期有所扩大。未来随着产能利用率持续提升、工艺磨合逐步成熟及规模效应释放,该板块亏损有望逐步收窄,长期来看将有利于优化公司产品结构,提升公司整体抗风险能力与盈利稳定性。",首亏,36887700.0,2026-07-15
1458,003037,三和管桩,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:350万元,同比上年下降:92.81%。",3500000.0,-92.81,"2026年上半年,公司归属于上市公司股东的净利润同比下降,主要受行业周期性调整及阶段性因素叠加影响:第一,行业需求阶段性走弱,公司营收表现优于行业均值。据国家统计局及中国混凝土与水泥制品协会数据,2026年1-5月,规模以上建材行业营业收入同比下降15.3%,利润总额同比下降68.6%,混凝土预制桩细分领域需求同步承压。公司上半年营业收入预计同比下滑约9.7%,降幅优于建材行业整体水平。第二,产品售价随行业价格体系下行,毛利率同比回落。据国家统计局及中国混凝土与水泥制品协会数据,2026年1-5月,建材产品出厂价格同比下降5.6%,水泥价格同比下降15.8%。受行业价格竞争加剧影响,公司产品销售价格阶段性承压,综合毛利率较上年同期有所下降。第三,根据《企业会计准则》相关规定,对应收款项计提信用减值损失。综上,公司上半年业绩下滑主要系行业周期性调整背景下的阶段性现象,公司经营基本面稳健,核心竞争能力未发生重大变化。",预减,48702100.0,2026-07-15
1459,003037,三和管桩,每股收益,预计2026年1-6月每股收益盈利:0.0252元。,0.0252,,"2026年上半年,公司归属于上市公司股东的净利润同比下降,主要受行业周期性调整及阶段性因素叠加影响:第一,行业需求阶段性走弱,公司营收表现优于行业均值。据国家统计局及中国混凝土与水泥制品协会数据,2026年1-5月,规模以上建材行业营业收入同比下降15.3%,利润总额同比下降68.6%,混凝土预制桩细分领域需求同步承压。公司上半年营业收入预计同比下滑约9.7%,降幅优于建材行业整体水平。第二,产品售价随行业价格体系下行,毛利率同比回落。据国家统计局及中国混凝土与水泥制品协会数据,2026年1-5月,建材产品出厂价格同比下降5.6%,水泥价格同比下降15.8%。受行业价格竞争加剧影响,公司产品销售价格阶段性承压,综合毛利率较上年同期有所下降。第三,根据《企业会计准则》相关规定,对应收款项计提信用减值损失。综上,公司上半年业绩下滑主要系行业周期性调整背景下的阶段性现象,公司经营基本面稳健,核心竞争能力未发生重大变化。",预减,0.1114,2026-07-15
1460,003037,三和管桩,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,500万元,同比上年下降:77.42%。",15000000.0,-77.42,"2026年上半年,公司归属于上市公司股东的净利润同比下降,主要受行业周期性调整及阶段性因素叠加影响:第一,行业需求阶段性走弱,公司营收表现优于行业均值。据国家统计局及中国混凝土与水泥制品协会数据,2026年1-5月,规模以上建材行业营业收入同比下降15.3%,利润总额同比下降68.6%,混凝土预制桩细分领域需求同步承压。公司上半年营业收入预计同比下滑约9.7%,降幅优于建材行业整体水平。第二,产品售价随行业价格体系下行,毛利率同比回落。据国家统计局及中国混凝土与水泥制品协会数据,2026年1-5月,建材产品出厂价格同比下降5.6%,水泥价格同比下降15.8%。受行业价格竞争加剧影响,公司产品销售价格阶段性承压,综合毛利率较上年同期有所下降。第三,根据《企业会计准则》相关规定,对应收款项计提信用减值损失。综上,公司上半年业绩下滑主要系行业周期性调整背景下的阶段性现象,公司经营基本面稳健,核心竞争能力未发生重大变化。",预减,66444000.0,2026-07-15
1461,003032,传智教育,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:2,800万元至4,000万元,同比上年增长:488.72%至655.32%。",34000000.0,572.02,"2026年半年度,公司持续深化“职业培训+学历教育”双轨发展战略,实现业绩扭亏为盈。主要原因为:(一)2026年上半年实现短训课程招生增长较快,职业培训业务呈现复苏态势。(二)公司学历教育板块在校生规模同比提升,业务规模同比扩大。",扭亏,-7203000.0,2026-07-15
1462,003032,传智教育,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:2,100万元至3,100万元,同比上年增长:294.26%至386.76%。",26000000.0,340.51,"2026年半年度,公司持续深化“职业培训+学历教育”双轨发展战略,实现业绩扭亏为盈。主要原因为:(一)2026年上半年实现短训课程招生增长较快,职业培训业务呈现复苏态势。(二)公司学历教育板块在校生规模同比提升,业务规模同比扩大。",扭亏,-10810300.0,2026-07-15
1463,003032,传智教育,每股收益,预计2026年1-6月每股收益盈利:0.07元至0.1元。,0.085,,"2026年半年度,公司持续深化“职业培训+学历教育”双轨发展战略,实现业绩扭亏为盈。主要原因为:(一)2026年上半年实现短训课程招生增长较快,职业培训业务呈现复苏态势。(二)公司学历教育板块在校生规模同比提升,业务规模同比扩大。",扭亏,-0.02,2026-07-15
1464,003030,祖名股份,每股收益,预计2026年1-6月每股收益亏损:0.17元至0.2元。,-0.185,,"报告期内,公司预计实现营业收入100,000-105,000万元,同比增长8.61%-14.04%,但归属于上市公司股东的净利润出现亏损,主要系大豆和能源价格上涨,导致公司生产成本、配送成本明显增加。",增亏,-0.07,2026-07-15
1465,003030,祖名股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,200万元至2,500万元,同比上年下降:141.92%至174.91%。",-23500000.0,-158.415,"报告期内,公司预计实现营业收入100,000-105,000万元,同比增长8.61%-14.04%,但归属于上市公司股东的净利润出现亏损,主要系大豆和能源价格上涨,导致公司生产成本、配送成本明显增加。",增亏,-9094000.0,2026-07-15
1466,003030,祖名股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:2,150万元至2,450万元,同比上年下降:109.83%至139.1%。",-23000000.0,-124.465,"报告期内,公司预计实现营业收入100,000-105,000万元,同比增长8.61%-14.04%,但归属于上市公司股东的净利润出现亏损,主要系大豆和能源价格上涨,导致公司生产成本、配送成本明显增加。",增亏,-10246600.0,2026-07-15
